UVG,bpp,PSNR,MS-SSIM,,,
,0.013470922,31.28,0.9035,,,
,0.020994975,32.53,0.9224,,,
,0.032449369,33.69,0.9357,,,
,0.047537734,34.71,0.9464,,,
,0.066727919,35.57,0.9565,,,
,0.075851337,35.84,0.9562,,,
,0.127298867,36.59,0.9622,,,
,0.146126602,36.87,0.9638,,,
,0.24968839,37.86,0.9692,,,
,,,,,,
,,,,,,
MCL,0.01361146618,29.43,0.8835,,,
,0.0154603612,29.67,0.8881,,,
,0.02099383178,31,0.9093,,,
,0.02384951395,31.25,0.9132,,,
,0.04781078347,33.37,0.9431,,,
,0.05432910394,33.61,0.9455,,,
,0.06677124624,34.28,0.9528,,,
,0.07589793746,34.56,0.9553,,,
